date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,month
2015-03-11,2,sewing,Wednesday,8,0.7,30.48,914.0,6840,30,0.0,0,1,57,0.700505263,3
2015-02-02,1,finishing,Monday,1,0.75,3.94,0,2280,0,0.0,0,0,19,0.504596491,2
2015-01-05,1,finishing,Monday,10,0.75,2.9,0,960,0,0.0,0,0,8,0.763375,1
2015-02-12,2,finishing,Thursday,4,0.7,4.15,0,1800,0,0.0,0,0,15,1.0,2
2015-01-08,2,sewing,Thursday,12,0.8,11.61,548.0,15120,63,0.0,0,0,31,0.800107143,1
2015-01-18,3,sewing,Sunday,5,0.6,20.4,1031.0,10440,30,0.0,0,0,58,0.600062696,1
2015-02-08,2,finishing,Sunday,9,0.8,3.94,0,960,0,0.0,0,0,8,0.607416667,2
2015-02-25,4,sewing,Wednesday,3,0.75,29.4,1283.0,6960,45,0.0,0,2,58,0.750206897,2
2015-01-05,1,finishing,Monday,4,0.8,3.94,0,3840,0,0.0,0,0,16,0.893663194,1
2015-01-08,2,finishing,Thursday,10,0.75,3.94,0,1440,0,0.0,0,0,8,0.779791667,1
2015-02-01,1,finishing,Sunday,8,0.65,4.15,0,960,0,0.0,0,0,8,1.0,2
2015-03-04,1,finishing,Wednesday,4,0.7,3.94,0,960,0,0.0,0,0,8,0.806058333,3
2015-01-21,3,sewing,Wednesday,3,0.7,22.52,1139.0,10260,63,0.0,0,0,57,0.750068049,1
2015-01-08,2,sewing,Thursday,6,0.8,11.41,411.0,14640,50,0.0,0,0,30,0.800024932,1
2015-02-18,3,finishing,Wednesday,3,0.5,5.13,0,960,0,0.0,0,0,8,0.2565,2
2015-02-18,3,sewing,Wednesday,1,0.8,22.52,1374.0,3960,63,0.0,0,0,57,0.800279693,2
2015-01-13,2,sewing,Tuesday,7,0.8,25.9,1126.0,10170,60,0.0,0,0,56,0.850136766,1
2015-01-18,3,sewing,Sunday,12,0.8,26.87,585.0,5670,56,0.0,0,0,31,0.662255892,1
2015-01-15,3,sewing,Thursday,7,0.8,25.9,1281.0,10170,60,0.0,0,0,56,0.850136766,1
2015-02-26,4,finishing,Thursday,6,0.75,2.9,0,3360,0,0.0,0,0,8,0.271875,2
2015-01-28,4,finishing,Wednesday,11,0.5,2.9,0,960,0,0.0,0,0,8,0.259375,1
2015-01-22,4,finishing,Thursday,3,0.7,3.94,0,12000,0,0.0,0,0,20,0.460578704,1
2015-02-02,1,finishing,Monday,10,0.8,3.94,0,1200,0,0.0,0,0,10,0.85695,2
2015-02-04,1,sewing,Wednesday,5,0.65,30.1,326.0,5820,0,90.0,10,0,58,0.650834808,2
2015-02-18,3,finishing,Wednesday,8,0.7,5.13,0,960,0,0.0,0,0,8,0.58,2
2015-02-12,2,sewing,Thursday,8,0.65,30.1,1193.0,7080,0,0.0,0,1,59,0.463403955,2
